filename,title,additional_tags,custom_tags
26070184_everything_looks_better_in_hindsight.html,Everything Looks Better (In Hindsight),hook has exactly...one moment of dialogue | Time Travel | he is also referenced a few times but never in a positive light | oof we love to indulge | also there are some Heated moments in this fic so I changed it from mature to explicit just in case | robin exists but is never seen or heard from which is so sexy | talking of death and erasure from existence | emma is a fool and is confronted with potential obliteration throughout the fic | season 6 emma swan | season 1 setting,Historical / Salem Era|Smut
376520_catalysis.html,Catalysis,Artifacts Made Them Do It | POV Second Person | Podfic Available,
59315482_underneath_the_tree.html,Underneath the Tree,Fluff | Hurt/Comfort | Soulmates | Alternate Universe - No Powers | Christmas | Useless Lesbians | Idiots in Love | Latina Rio Vidal Supremacy | Straight out of a Lifetime movie | but make it gay | Rio Vidal Speaks Spanish | Smut,AU - No Powers / Non-Magical|Fluff|Hurt/Comfort|Pining|Smut
59672419_its_bloody_and_raw_but_i_swear_its_sweet.html,It’s Bloody and Raw (But I Swear it's Sweet),Alternate Universe - Modern Setting | Grief/Mourning | Slow Burn | Lovers to enemies to lovers | Alternate Universe - Modern: No Powers | Angst | Like it’s super sad | early smut | but unhealthy coping,AU - Modern Setting|AU - No Powers / Non-Magical|Angst|Enemies to Lovers|Grief / Recovery|Slow Burn|Smut
59719738_an_unexpected_visitor.html,An Unexpected Visitor,Sexual Tension | Unresolved Romantic Tension | Fluff and Angst | Angst with a Happy Ending | Yearning | Possessive Behavior | Unresolved Emotional Tension | Unresolved Sexual Tension | Jealousy | Fluff | Enemies to Lovers | Starts with Wandavision then merges into Agatha All Along | sort-of an amnesia fic too lmao | Rio Vidal Loves Agatha Harkness | Agatha Harkness Loves Rio Vidal | Amnesia | There will be a happy ending gang | Happy Ending,Angst|Enemies to Lovers|Fluff|Jealousy|Pining|Smut
59730688_checkmate.html,Checkmate!,Canon Divergence | a.k.a. Andy Dwyer does NOT exist! | i cannot believe i get to christen the jen/april tag!! | Eventual Smut,AU - Canon Divergence|Smut
59746492_time_warp.html,Time Warp,Alternate Universe - No Powers | Alternate Universe - Hollywood | Actress Agatha Harkness | Director Rio Vidal | Lovers to Exes to Lovers | Fluff and Angst | Two timelines,AU - Celebrity / Rock Band|AU - No Powers / Non-Magical|Fluff
59761162_bitches_i_dont_trust_them_but_they_give_me_what_i.html,bitches i don't trust them (but they give me what i want for the night),Crossovers & Fandom Fusions | thank you twitter oomf for this brilliant idea | Hospitals | Injury Recovery | Inspired by Grey's Anatomy | i fucking love this ship idea actually | Smut | Cunnilingus | idgaf anymore they’re horny for each other that’s kinda it | Rough Kissing | Love Bites | eve lowkey a power bottom idgaf | riley is here for it,Grief / Recovery|Smut
59763247_deaths_echo.html,Death's Echo,Past Agatha/Rio | Child Death | Grief/Mourning | Emotional Hurt/Comfort | Healing | Married Agatha and Rio | Two Moms | Trauma | Unhealthy Coping Mechanisms | Angst | Angst with a Happy Ending | Angst and Hurt/Comfort | Heavy Angst | Emotional Hurt | Eventual Happy Ending | Don’t read in public unless you are comfortable crying in public,Angst|Grief / Recovery|Hurt/Comfort
59774080_roses_are_red_orchids_arepurple.html,"Roses Are Red, Orchids Are...Purple?",Town of Westview New Jersey (Marvel) | Alternate Universe | Enemies to Friends to Lovers | Well Rio wants to be friends to lovers but Agathas angsty | Alternate Universe - Flower Shop & Tattoo Parlor | Agatha hates gentrification | Futch Agatha Harkness | Slow Burn | Alternate Universe - Modern Setting | Fluff and Humor,AU - General|AU - Modern Setting|Angst|Comedy|Fluff|Friends to Lovers|Slow Burn
59823169_love_persevering.html,Love Persevering,Agatha Harkness and Rio Vidal are Nicholas Scratch's Parents | Teen (Agatha All Along) is Nicholas Scratch (Marvel) | Second Chances | Lesbian Agatha Harkness | Agatha Harkness Needs a Hug | Soft Agatha Harkness | Protective Agatha Harkness | Rio Vidal is Death | Lesbian Rio Vidal | Rio Vidal Needs a Hug | Protective Rio Vidal | Family Fluff | Family Feels | Family Bonding | Family Reunions | Post-Thanos's Snap (Marvel) | Alternate Universe - Canon Divergence | BAMF Rio Vidal | Slow Burn | Hurt/Comfort | Oral Sex | Lesbian Sex,AU - Canon Divergence|Fluff|Hurt/Comfort|Slow Burn|Smut
59841808_close_enough_for_love.html,Close Enough for Love,Alternate Universe - Soulmates | Alternate Universe - No Powers | Fluff | Humor | Rio Vidal Speaks Spanish | Mutual Pining | Slow Burn | Idiots in Love | Useless Lesbians | Hurt/Comfort | Latina Rio Vidal | Soulmate-Identifying Marks | Eventual Smut | Past Child Abuse | Smoking | Phone Sex | Masturbation | Jealousy | bottom rio truthers rise,AU - No Powers / Non-Magical|AU - Soulmates|Comedy|Fluff|Hurt/Comfort|Jealousy|Pining|Slow Burn|Smut
59884564_the_ethics_of_attraction.html,The Ethics of Attraction,Teacher-Student Relationship | Fluff | Jealousy | Alternate Universe - Canon Divergence | Alternate Universe - Modern Setting | Flirting | Alternate Universe - No Powers | Alternate Universe - Modern: No Powers,AU - Canon Divergence|AU - Modern Setting|AU - No Powers / Non-Magical|Fluff|Jealousy|Pining
59939713_silver_springs.html,Silver Springs,Fake/Pretend Relationship | Misunderstandings | Enemies to Lovers | Eventual Smut | Alternate Universe - Modern: No Powers,AU - No Powers / Non-Magical|Enemies to Lovers|Fake Dating / Pretend Relationship|Smut
59941591_unraveled.html,Unraveled,,
59965684_witchcraft_filling_your_void.html,Witchcraft Filling Your Void,Alternate Universe - Modern: No Powers | Alternate Universe - Non-Magical | Age Difference | (but legal),AU - No Powers / Non-Magical|Age Gap
59970673_dearest_agatha.html,Dearest Agatha,Alternate Universe | Angst | Fluff and Smut | Fluff and Angst | Fluff | Sexual Humor | Lesbian Sex | Oral Sex | Boss/Employee Relationship | Dirty Talk,AU - General|Angst|Comedy|Fluff|Smut
60017602_the_witchy_ceo.html,the witchy CEO,Baristas | CEO | Useless Lesbians | Gay Panic | Barista!Rio | CEO!Agatha | agatha is just a mess | a boomer | rio is gay asf | age gap | Strangers to Lovers | Fluff and Angst | Smut | mentions of abuse,Age Gap|Fluff|Pining|Smut|Strangers to Lovers
60045475_a_kingdom_by_the_night.html,A Kingdom By the Night,Inspired by Hades and Persephone (Ancient Greek Religion & Lore) | Strangers to Lovers | Alternate Universe | First Meetings | when your coven uses you to bargain with death | but six months there is better than another minute with them so you'll take your chance | Inspired by Hadestown | Slow Burn | Blood Magic | Canon-Typical Violence | Angst and Hurt/Comfort | Power Play | these witches be switches | Magical Pregnancy | Eventual Happy Ending | LOTS OF ANGST IN THE MIDDLE | Complete,AU - General|Angst|Slow Burn|Strangers to Lovers
60055312_youll_just_have_to_taste_me_when_shes_kissin_you.html,You'll Just Have to Taste Me (When She's Kissin' You),"Alternate Universe - No Powers | Celebrity Crush | Basketball Player Rio Vidal | Sexual Tension | Mutual Pining | Lesbian Agatha Harkness | Lesbian Rio Vidal | unrealistic use of twitter headlines lmao | Eventual Smut | Cunnilingus | Vaginal Fingering | Hotel Sex | Unplanned Pregnancy | ........ i am not even going to attempt to justify that tag | yes they're two women and yes one can knock up the other | shut up??!""?""?&gt;£&gt;!",AU - No Powers / Non-Magical|Pining|Smut
60137950_all_roads_lead_to_this.html,All Roads Lead to This,Fluff and Humor | Alternate Universe - Rock Band | Soft Rio Vidal | Soft Agatha Harkness | Family Fluff | Domestic Fluff | Rio Vidal is Death | but like in a rockstar fun way | trust me - Freeform | Agatha breaks the internet on the daily | Billy is just suffering through his mother's flirting on main | Nicky is having a good time | No Angst,AU - Celebrity / Rock Band|Angst|Comedy|Fluff|Pining
60165511_dont_be_afraid_of_me_im_what_you_need.html,Don't Be Afraid of Me (I'm What You Need),I'm Bad At Tagging | spanish teacher rio | badass agatha but softie around rio | Good Friend Wanda Maximoff | Fwb Wanda and Agatha,Fluff|Friends With Benefits|Past / Minor Wagatha
60190921_devotion_is_for_fools.html,Devotion Is for Fools,Hurt/Comfort | Angst | Period-Typical Homophobia | Agatha's backstory,Angst|Historical / Salem Era|Homophobia|Hurt/Comfort
60208747_i_looked_to_the_children.html,i looked to the children (i drank from the fountains),writing this felt like a fever dream | i feel like i literally birthed it | Neighbors AU | finally brave enough to use closer to fine lyrics as a fic title | no superpowers etc,AU - General
60223375_there_is_no_death_for_witches_only_transformation.html,There Is No Death for Witches (Only Transformation),Angst with a Happy Ending | Angst and Hurt/Comfort | the same way wounds hurt the most when you make them | this will hurt a little bit at the start | but it'll smooth itself over as we go | and we're going places | like salem | and other important points in agathario's history | what matters most if you choose to read is this | im with you | we're on this road together | and i want to take you to a better place | i wont stir you wrong | your heart is safe in my hands | Trust | besides as a fellow witch once said | happy sad endings are the best | Canon Compliant | starts after the finale,Angst|Canon Compliant|Historical / Salem Era
60229678_the_neutral_ground.html,The Neutral Ground,Smut | Rough Oral Sex | Fingering | As canon compliant as I can possibly muster | Written and rewritten and agonized over | Definitely character studies | Happy Ending | A Little Bloody | It’s evil gay witch sex it’s going to be a little weird | it’s what they deserve | They are the definition of top on top violence | The stupidest witch you know has Death incarnate wrapped around her blackened little finger | There is angst it was unavoidable,Angst|Smut
60245707_i_could_not_stop_for_death.html,I Could Not Stop for Death,Fluff | Kid Fic | Canon Compliant | Alternate Universe - Canon Divergence | Slice of Life | Slow Burn | Eventual Smut | Fake/Pretend Relationship | Kind Of | Angst with a Happy Ending | Agatha Harkness and Rio Vidal are Nicholas Scratch's Parents,AU - Canon Divergence|Angst|Canon Compliant|Fake Dating / Pretend Relationship|Fluff|Slow Burn|Smut
60263902_creator_you_destroy_me.html,"Creator, You Destroy Me",Angst with a Happy Ending | Domestic Fluff | Hurt No Comfort | lowkey... | agatha harkness needs a therapist | Mild Sexual Content | mild descriptions of knifeplay | Rio Vidal you are the father | death has feelings (and needs a hug kinda) | minor mentions of wanda/agatha | Canon Compliant | just with much needed additional detail... | Mentions of Character Death | but dont worry she reincarnates | 80s!biker chick agatha cameo | child loss mentions,Angst|Canon Compliant|Fluff|Hurt No Comfort|Hurt/Comfort|Past / Minor Wagatha|Smut
60284353_rios_toxic_embrace.html,Rio’S Toxic Embrace,Lesbian Agatha Harkness | Lesbian Rio Vidal | Rio Vidal Loves Agatha Harkness | Agatha Harkness Loves Rio Vidal | billy maximoff is a sarcastic bitch | what actually happened | Toxic Embrace | They aren’t that toxic | lesbians need to communicate better | Agatha and Rio need to get it together | Agatha is a ghost | for a little bit at least | No Beta | we’re raw-dogging this | Oral Sex | Vaginal Fingering | Topping | Useless Lesbians | Agatha Harkness and Rio Vidal are Nicholas Scratch's Parents | Agatha Harkness is Bad at Feelings | Rio Vidal is Death | Rio Vidal is a Brat,Angst|Pining|Smut
60293302_happiest_season.html,Happiest Season,Alternate Universe - Modern: No Powers | Exes | Christmas | Jealousy | Angst | Drama,AU - No Powers / Non-Magical|Angst|Jealousy
60307105_when_we_kiss_i_have_anger_issues.html,When We Kiss (I Have Anger Issues),Alternate Universe - Modern Setting | Lawyers | Angst and Fluff and Smut | mostly smut ngl | Fake/Pretend Relationship | Shower Sex | Strap-Ons | Lesbian Agatha Harkness | Agatha hates Rio except no she doesnt | Homophobia | thats like the only tw ig,AU - Modern Setting|Fake Dating / Pretend Relationship|Fluff|Homophobia|Smut
60315637_the_road_twists_and_turns.html,The Road Twists and Turns,Alternate Universe - Gods & Goddesses,
